序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201809),净利润(201809),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
2705,600694,大商股份,大商股份有限公司,大连市,中山区,1837497.12,78519.03,17960,1993-11-22,--,,百货,百货、超市、家电连锁,商品零售。
2706,600695,绿庭投资,上海绿庭投资控股集团股份有限公司,上海市,松江区,3222.9,487.02,68,1993-11-22,--,,其他非银行金融,投资管理,投资管理和资产管理
2707,600696,ST岩石,上海岩石企业发展股份有限公司,上海市,上海市,41364.09,2130.57,20,1993-12-06,--,,房地产开发,贸易、房屋租赁、融资租赁、商业保理、房产销售,房地产综合开发、商品房销售、商场物业出租及相应物业管理
2708,600697,欧亚集团,长春欧亚集团股份有限公司,长春市,朝阳区,1134336.21,19878.4,9444,1993-12-06,--,,百货,商品流通、房地产、租赁服务、物业租赁、旅游餐饮业,综合百货业务
2709,600698,湖南天雁,湖南天雁机械股份有限公司,衡阳市,石鼓区,38400.49,-231.05,1436,1993-12-06,--,,汽车零部件,汽车零部件,增压器、活塞环、冷却风扇、节温器、气门及其他发动机零部件的设计、开发、生产、销售
2710,600699,均胜电子,宁波均胜电子股份有限公司,宁波市,鄞州区,3942120.45,105767.39,28349,1993-12-06,--,,汽车零部件,智能汽车电子-人机交互产品(HMI)、智能汽车电子-车载互联系统、智能汽车电子-汽车安全系统、智能汽车电子-电子功能件及总成、新能源汽车电子、智能制造,汽车零部件研制、生产和销售
2711,600701,*ST工新,哈尔滨工大高新技术产业开发股份有限公司,哈尔滨市,南岗区,104408.38,-38582.62,1625,1996-05-28,--,,信息服务业,乳制品、租金收入、餐饮、服务业、商业商品销售、信息服务业,大豆深加工、乳制品制造以及商业服务业务
2712,600702,舍得酒业,舍得酒业股份有限公司,遂宁市,射洪县,158908.87,27306.36,4640,1996-05-24,--,,白酒,酒类、医药,白酒产品的生产和销售
2713,600703,三安光电,三安光电股份有限公司,荆州市,沙市区,639332.03,259361.07,9817,1996-05-28,--,,LED,LED行业,电子工业技术研究、咨询服务，电子产品生产、销售等
2714,600704,物产中大,物产中大集团股份有限公司,杭州市,下城区,21278595.5,182594.96,19071,1996-06-06,--,,综合,供应链集成服务、金融服务、高端实业,供应链集成服务
2715,600705,中航资本,中航资本控股股份有限公司,哈尔滨市,道里区,516840.41,220034.45,4535,1996-05-16,--,,其他非银行金融,租赁公司业务、信托公司业务、证券公司业务、财务公司业务、期货公司业务、产业投资公司业务、国际业务,证券、租赁、期货、信托、财务公司等金融业务与实业（财务性）股权投资业务。
2716,600706,曲江文旅,西安曲江文化旅游股份有限公司,西安市,雁塔区,98702.62,11341.45,3785,1996-05-16,--,,景区,景区运营管理、酒店餐饮、旅游商品销售、旅游服务(旅行社)、园林绿化,景区运营管理业务、历史文化主题酒店管理(含餐饮管理)业务、旅行社业务、演出演艺业务、文化旅游商品业务及其他新型旅游业务、房地产的开发和销售
2717,600707,彩虹股份,彩虹显示器件股份有限公司,西安市,雁塔区,80960.69,-26688.73,2289,1996-05-20,--,,显示器件,液晶玻璃基板,液晶基板玻璃的研发、生产与销售
2718,600708,光明地产,光明房地产集团股份有限公司,上海市,浦东新区,940069.56,101191.94,4674,1996-06-06,--,,房地产开发,房地产开发、物业及租赁,房地产业务、物流业务
2719,600710,苏美达,苏美达股份有限公司,常州市,新北区,5913769.88,34796.9,18056,1996-07-01,--,,综合,供应链运营、单机产品贸易、工程项目、光伏发电,"大宗商品贸易与机电设备进口,园林机械、汽油与柴油发电设备、汽车零配件、高铁零部件等机电产品和纺织服装产品的研发、生产、贸易，以及新能源工程、船舶工程、环境工程等。"
2720,600711,盛屯矿业,盛屯矿业集团股份有限公司,厦门市,翔安区,2087153.6,47060.53,598,1996-05-31,--,,铜,有色金属采选、钴材料、金属产业链增值业务,有色金属矿采选和综合贸易，金属金融服务业务
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201809),净利润(201809),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
2721,600712,南宁百货,南宁百货大楼股份有限公司,南宁市,兴宁区,155707.53,-3758.11,1187,1996-06-26,--,,百货,商品零售,商业零售业务
2722,600713,南京医药,南京医药股份有限公司,南京市,雨花台区,2259569.98,19748.24,4480,1996-07-01,--,,医药商业,批发、零售、电商、物流服务,主要从事药品配送、批发、零售及医疗器械配送、批发、医药物流服务和互联网药品零售。
2723,600714,金瑞矿业,青海金瑞矿业发展股份有限公司,西宁市,西宁市,9189.01,1558.31,201,1996-06-06,--,,其他化学原料,碳酸锶,煤炭的开采、碳酸锶系列产品的生产和销售
2724,600715,文投控股,文投控股股份有限公司,--,辽宁,147900.0,2517.55,2582,1996-07-01,--,,--,影视板块、影视板块、产业投资,影城运营管理、影视投资制作及发行、文化娱乐经纪和网络游戏研发运营业务。
2725,600716,凤凰股份,江苏凤凰置业投资股份有限公司,南京市,玄武区,94263.0,-3264.55,131,1996-07-02,--,,房地产开发,商品住宅,房地产开发、商品房销售。
2726,600717,天津港,天津港股份有限公司,天津市,滨海新区,942619.72,64761.46,8545,1996-06-14,--,,港口,装卸、销售、港口服务、港口物流,商品储存；中转联运、汽车运输；装卸搬运；集装箱搬运、拆装箱及相关业务；货运代理；劳务服务；商业及各类物资的批发、零售；经济信息咨询服务等
2727,600718,东软集团,东软集团股份有限公司,沈阳市,浑南区,425493.27,12453.69,16706,1996-06-18,--,,其他软件服务,自主软件、系统集成、物业广告,以软件技术为核心，通过软件与服务的结合，软件与制造的结合，技术与行业管理能力的结合，提供行业解决方案、产品工程解决方案及相关软件产品、平台及服务等。
2728,600719,大连热电,大连热电股份有限公司,大连市,沙河口区,49357.17,-3393.3,839,1996-07-16,--,,其他发电,电力、热力,"发电上网,同时为居民及工商业用户提供采暖、供热服务"
2729,600720,祁连山,甘肃祁连山水泥集团股份有限公司,兰州市,城关区,431700.56,55112.18,5833,1996-07-16,--,,水泥,水泥、熟料、商品混凝土、骨料,水泥、混凝土等产品的生产、加工和销售。
2730,600721,百花村,新疆百花村股份有限公司,乌鲁木齐市,天山区,36051.71,7008.09,576,1996-06-26,--,,综合,医药研发、临床试验、煤炭、焦炭、尿素,医药研发服务(CRO)
2731,600722,金牛化工,河北金牛化工股份有限公司,沧州市,沧州市,75193.96,3908.4,176,1996-06-26,--,,其他化学原料,甲醇,甲醇生产、销售。
2732,600723,首商股份,北京首商集团股份有限公司,北京市,西城区,735168.86,27200.59,6096,1996-07-16,--,,百货,商品销售、房屋租赁,"百货店、奥特莱斯、购物中心等零售业态,同时还有品牌代理、物业租赁等业务"
2733,600724,宁波富达,宁波富达股份有限公司,宁波市,余姚市,341571.45,30612.0,2183,1996-07-16,--,,房地产开发,工业、商业、房地产业、服务业、租赁业,房地产开发业务；商业地产的出租、自营联营及托管业务；水泥及其制品的生产和销售业务等。
2734,600725,ST云维,云南云维股份有限公司,玉溪市,通海县,74689.52,1565.41,279,1996-07-02,--,,焦炭,煤炭、化肥,化工及化纤材料、水泥，纯碱，原煤、焦煤、及煤化工产品的生产、加工和销售
2735,600726,华电能源,华电能源股份有限公司,哈尔滨市,香坊区,681733.42,-52330.29,11650,1996-07-01,--,,火电,售电、供热、电表销售、煤炭销售、工程施工,电力；煤炭
2736,600727,鲁北化工,山东鲁北化工股份有限公司,滨州市,无棣县,48330.58,8596.96,843,1996-07-02,--,,磷肥,原盐、溴素、化肥、水泥,磷酸二铵和复合肥料的生产、销售;水泥产品的生产与销售;原盐、溴素的生产与销售
2737,600728,佳都科技,佳都新太科技股份有限公司,广州市,番禺区,278987.25,11262.05,2221,1996-07-16,--,,综合,智能化轨道交通、智慧城市、网络及云计算产品与服务、IT综合服务,智能安防、智能化轨道交通、通信增值、服务与集成(含网络及云计算产品和服务、IT综合服务)
2738,600729,重庆百货,重庆百货大楼股份有限公司,重庆市,渝中区,2568548.81,76887.5,20872,1996-07-02,--,,百货,百货、超市、电器、汽车贸易,百货的批发与零售
2739,600730,中国高科,中国高科集团股份有限公司,北京市,顺义区,7411.46,339.86,316,1996-07-26,--,,房地产开发,国内贸易、国外贸易、运输及仓储、商品房销售、网络教育、投资管理,房地产、仓储物流及国内外贸易
2740,600731,湖南海利,湖南海利化工股份有限公司,长沙市,芙蓉区,105235.09,1132.11,2169,1996-08-02,--,,农药,农药产品、精细化工产品、建筑安装、技术服务,农药产品、精细化工产品、建筑安装
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201809),净利润(201809),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
2741,600732,ST新梅,上海新梅置业股份有限公司,上海市,静安区,2781.78,-766.95,39,1996-08-16,--,,房地产开发,房地产,房地产开发与经营
2742,600733,北汽蓝谷,北汽蓝谷新能源科技股份有限公司,成都市,武侯区,978716.18,13250.89,18,1996-08-16,--,,房地产服务,投资性房地产、房地产,房地产开发与销售、商品销售
2743,600734,实达集团,福建实达集团股份有限公司,福州市,马尾区,402077.83,12446.61,2946,1996-08-08,--,,消费电子设备,移动互联网智能终端及配件、物联网周界安防系统、电脑外设产品,计算机、通信和其他电子设备制造业
2744,600735,新华锦,山东新华锦国际股份有限公司,青岛市,崂山区,100911.54,5833.74,1211,1996-07-26,--,,其他轻工,人发制品、人发化纤混合发制品,发制品、纺织服装、锡材料加工
2745,600736,苏州高新,苏州新区高新技术产业股份有限公司,苏州市,虎丘区,375329.81,42668.48,1517,1996-08-15,--,,房地产开发,先进制造板块、环保板块、产业地产板块、非银金融与产业投资,房地产开发及基础设施经营
2746,600737,中粮糖业,中粮屯河糖业股份有限公司,昌吉回族自治州,昌吉市,1360963.3,79824.97,6406,1996-07-31,--,,番茄加工,工业、农业、贸易,白砂糖及相关产品的制造销售、番茄加工及番茄制品的销售，还有一家水泥参股公司。
2747,600738,兰州民百,兰州民百(集团)股份有限公司,兰州市,城关区,106433.77,125211.52,1053,1996-08-02,--,,百货,百货零售、餐饮酒店、专业市场管理,百货的批发与零售。
2748,600739,辽宁成大,辽宁成大股份有限公司,大连市,中山区,1417020.16,69860.18,2655,1996-08-19,--,,贸易,进出口贸易、商品流通、生物制药、能源开发,商贸流通、生物制药、能源开发、金融服务
2749,600740,山西焦化,山西焦化股份有限公司,临汾市,洪洞县,520327.89,128740.6,5095,1996-08-08,--,,焦炭,焦炭、化工,焦炭及相关化工产品的生产和销售
2750,600741,华域汽车,华域汽车系统股份有限公司,上海市,静安区,11879858.95,636398.11,29821,1996-08-26,--,,汽车零部件,汽车内外饰件、金属成型和模具、功能件、电子电器件、热加工件,独立供应汽车零部件研发、生产及销售。
2751,600742,一汽富维,长春一汽富维汽车零部件股份有限公司,长春市,绿园区,989749.24,38791.56,5238,1996-08-26,--,,汽车零部件,汽车保险杠、汽车车轮、车灯,汽车零部件系列产品的研制、生产和销售
2752,600743,华远地产,华远地产股份有限公司,北京市,西城区,306250.47,29177.45,660,1996-09-09,--,,房地产开发,房地产,房地产开发与销售、租赁。
2753,600744,华银电力,大唐华银电力股份有限公司,长沙市,芙蓉区,681872.93,-161.86,6311,1996-09-05,--,,火电,电力销售、商品流通、煤炭开采、科技信息、房地产,电力生产
2754,600745,闻泰科技,闻泰科技股份有限公司,黄石市,黄石港区,1100642.8,-16938.83,3594,1996-08-28,--,,消费电子设备,房产,房地产开发与经营，移动通信设备产品的研发与制造
2755,600746,江苏索普,江苏索普化工股份有限公司,镇江市,京口区,37967.07,-126.63,504,1996-09-18,--,,其他化学制品,ADC 发泡剂、漂粉精产品,ADC发泡剂、漂粉精、氯、碱等产品的生产和销售
2756,600747,ST大控,大连大福控股股份有限公司,大连市,甘井子区,134923.19,-229.53,278,1996-09-16,--,,贸易,电子产品、塑料品及模具、大宗贸易商品,从事大宗商品贸易
2757,600748,上实发展,上海实业发展股份有限公司,上海市,浦东新区,472875.12,28645.94,5779,1996-09-25,--,,房地产开发,房地产,房地产开发、房地产经营
2758,600749,*ST藏旅,西藏旅游股份有限公司,拉萨市,拉萨市,14780.25,2088.66,755,1996-10-15,--,,景区,旅游景区资源的开发与运营、旅游服务、传媒文化,景区开发与运营、旅游服务业务及广告传媒文化
2759,600750,江中药业,江中药业股份有限公司,南昌市,青山湖区,129154.97,35361.76,3235,1996-09-23,--,,中药生产,非处方药类、保健食品,非处方药、保健品及功能食品的生产、研发与销售
2760,600751,海航科技,海航科技股份有限公司,天津市,和平区,23258939.3,4361.7,32132,1996-09-09,--,,贸易,电子产品分销、商品贸易、船舶贸易,IT供应链及技术解决方案、海航云集市、海航云科技
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201809),净利润(201809),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
2761,600753,东方银星,河南东方银星投资股份有限公司,商丘市,睢阳区,158378.44,584.92,23,1996-09-27,--,,贸易,精煤、焦炭及附属品,焦炭及煤炭等煤化工产品的大宗商品贸易
2762,600754,锦江股份,上海锦江国际酒店发展股份有限公司,上海市,浦东新区,1095664.83,87191.22,36108,1996-10-11,--,,酒店,有限服务型酒店营运及管理业务、食品及餐饮业务,酒店营运管理、食品及餐饮服务等
2763,600755,厦门国贸,厦门国贸集团股份有限公司,厦门市,思明区,14511248.39,177339.2,4992,1996-10-03,--,,贸易,供应链管理业务、房地产经营业务、金融服务业务,供应链管理、房地产经营、金融服务
2764,600756,浪潮软件,浪潮软件股份有限公司,泰安市,泰山区,63386.96,10023.19,2001,1996-09-23,--,,行业应用软件,电子政务、烟草,烟草信息化、电子政务
2765,600757,长江传媒,长江出版传媒股份有限公司,武汉市,武昌区,768447.58,63426.87,4523,1996-10-03,--,,平面媒体,出版业务、发行业务、印刷业务、物资销售业务,出版传媒业
2766,600758,红阳能源,辽宁红阳能源投资股份有限公司,沈阳市,皇姑区,533699.96,370.29,17052,1996-10-29,--,,煤炭开采洗选,煤炭、发电业务、供暖业务、蒸汽业务、供暖工程,煤炭开采、洗选、销售，发电、供暖
2767,600759,洲际油气,洲际油气股份有限公司,海口市,美兰区,263711.39,11834.14,1968,1996-10-08,--,,石油天然气开采,油气、运输服务、租赁、服务、管理咨询及其他、一级土地开发,石油天然气开发
2768,600760,中航沈飞,中航沈飞股份有限公司,威海市,文登区,1159292.71,31269.0,14880,1996-10-11,--,,商用车,航空产品,航空产品制造业务
2769,600761,安徽合力,安徽合力股份有限公司,合肥市,蜀山区,737855.98,44475.07,7265,1996-10-09,--,,工程机械,叉车及配件、装载机,工业车辆、装载机等产品的研发、生产和销售;配件服务、车辆租赁、再制造等工业车辆后市场业务
2770,600763,通策医疗,通策医疗投资股份有限公司,杭州市,上城区,116346.65,27539.31,2974,1996-10-30,--,,医疗服务,口腔、辅助生殖医疗,医疗服务的投资
2771,600764,中国海防,中国船舶重工集团海洋防务与信息对抗股份有限公司,北京市,海淀区,17250.21,2515.53,501,1996-11-04,--,,集成电路,特装电子产品、汽车电子产品、试验检测服务、压载水等特种电源、电动工具,水声信息传输装备和各类电控系统的研制和生产
2772,600765,中航重机,中航重机股份有限公司,贵阳市,贵阳市,382500.49,20903.15,7754,1996-11-06,--,,基础件,锻铸、 高端液压集成,锻铸件、液压件、散热器及清洁能源业务
2773,600766,园城黄金,烟台园城黄金股份有限公司,烟台市,芝罘区,706.53,64.07,23,1996-10-28,--,,黄金,黄金产品、房地产,托管乳山市金海矿业、本溪小套峪矿业及威海金滩矿业相关矿山
2774,600767,ST运盛,运盛(上海)医疗科技股份有限公司,上海市,青浦区,9362.07,-1835.7,305,1996-11-15,--,,综合,房地产及其相关行业、医疗信息行业,城市基础设施开发及配套服务。
2775,600768,宁波富邦,宁波富邦精业集团股份有限公司,宁波市,镇海区,55464.09,-719.54,488,1996-11-11,--,,铝,铝材、仓储及其他业务,有色金属复合材料、新型合金材料、铝及铝合金板、带、箔及制品、铝型材产品的制造、生产。
2776,600769,祥龙电业,武汉祥龙电业股份有限公司,武汉市,洪山区,2859.05,351.81,68,1996-11-01,--,,专业工程,供水、建筑工程安装,供水和建筑安装
2777,600770,综艺股份,江苏综艺股份有限公司,南通市,通州区,37014.41,8512.89,875,1996-11-20,--,,综合,制造业、光伏电站、互联网信息技术服务业、股权投资、,集成电路设计及应用产品开发、服装、电子信息服务等；新能源、太阳能电池、组件及应用产品的开发、销售、服务
2778,600771,广誉远,广誉远中药股份有限公司,西宁市,西宁市,102162.24,22597.89,2174,1996-11-05,--,,中药生产,中药产品,中药产品的生产、销售
2779,600773,西藏城投,西藏城市发展投资股份有限公司,拉萨市,城关区,80759.41,7045.76,132,1996-11-08,--,,房地产开发,房地产销售,房地产开发
2780,600774,汉商集团,武汉市汉商集团股份有限公司,武汉市,汉阳区,77522.07,1102.63,1258,1996-11-08,--,,百货,商品销售、展览业、酒店业、物业管理、门面租金,零售、会展、商业地产
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201809),净利润(201809),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
2781,600775,南京熊猫,南京熊猫电子股份有限公司,南京市,浦口区,308963.46,8122.83,3831,1996-11-18,--,,通信终端设备,电子制造产品、电子装备产品、消费电子产品,电子装备、消费电子产品的研发、生产和销售以及电子制造服务。
2782,600776,东方通信,东方通信股份有限公司,杭州市,西湖区,156173.8,7670.17,2744,1996-11-26,--,,通信传输设备,企业网和信息安全、智能自助设备、信息通信技术服务与运营,通信和金融电子网络业务
2783,600777,新潮能源,山东新潮能源股份有限公司,烟台市,牟平区,356037.15,65083.4,173,1996-11-21,--,,综合,原油、天然气,石油及天然气的勘探开采及销售
2784,600778,*ST友好,新疆友好(集团)股份有限公司,乌鲁木齐市,沙依巴克区,418188.25,8060.01,3915,1996-12-03,--,,百货,商业,商品的零售与批发及房地产
2785,600779,水井坊,四川水井坊股份有限公司,成都市,金牛区,213867.73,46276.0,1261,1996-12-06,--,,白酒,白酒,生产销售酒类产品
2786,600780,通宝能源,山西通宝能源股份有限公司,太原市,小店区,426381.98,16374.28,5118,1996-12-05,--,,火电,电力、热力,火力发电、配电业务及燃气业务等。
2787,600781,辅仁药业,辅仁药业集团实业股份有限公司,周口市,鹿邑县,476755.48,73098.05,4331,1996-12-18,--,,中药生产,化学药、中成药、原料药、生物制药,从事中成药的研发、生产、销售及药品的批发、零售业务、化学药和原料药的研发、生产和销售业务。
2788,600782,新钢股份,新余钢铁股份有限公司,新余市,渝水区,4078795.03,394828.47,18667,1996-12-25,--,,普钢,工商业、建筑业、运输业,中厚板、薄板、线材、棒材、金属制品的生产与销售
2789,600783,鲁信创投,鲁信创业投资集团股份有限公司,淄博市,张店区,15168.6,21689.48,592,1996-12-25,--,,综合,非金属矿物制品、投资管理,创业投资业务、磨料磨具业务
2790,600784,鲁银投资,鲁银投资集团股份有限公司,济南市,槐荫区,140733.53,6502.84,1643,1996-12-25,--,,综合,粉末及制品、房地产、贸易,粉末冶金及制品、房地产、商贸、矿业开采、羊绒纺织、金融及文化产业等。
2791,600785,新华百货,银川新华百货商业集团股份有限公司,银川市,银川市,571191.19,16430.74,8175,1997-01-08,--,,百货,商品零售、租赁业务,百货的零售与批发。
2792,600787,中储股份,中储发展股份有限公司,天津市,北辰区,2741363.42,7364.4,4568,1997-01-21,--,,物流,交通运输、商品流通,商品储存、物资配送、货运代理、商品销售
2793,600789,鲁抗医药,山东鲁抗医药股份有限公司,济宁市,任城区,237364.54,14402.32,5971,1997-02-26,--,,化学制剂,医药产品,医药产品的研发、生产和销售
2794,600790,轻纺城,浙江中国轻纺城集团股份有限公司,绍兴市,柯桥区,73057.98,30631.22,985,1997-02-28,--,,专业市场,市场租赁、仓储租赁,纺织品市场租赁及配套服务
2795,600791,京能置业,京能置业股份有限公司,北京市,西城区,53157.99,11072.48,158,1997-01-30,--,,房地产开发,房地产开发,房地产开发与经营
2796,600792,云煤能源,云南煤业能源股份有限公司,昆明市,昆明市,382801.29,8467.93,2087,1997-01-23,--,,焦炭,煤焦化,焦炭和煤化工副产品的生产与销售
2797,600793,宜宾纸业,宜宾纸业股份有限公司,宜宾市,南溪区,104000.66,21017.43,1003,1997-02-20,--,,造纸,食品包装原纸,生产销售新闻纸、文化纸、食品包装原纸
2798,600794,保税科技,张家港保税科技(集团)股份有限公司,苏州市,张家港市,107965.83,2914.92,516,1997-03-06,--,,物流,码头装卸及保税仓储业务,液体化工品的码头装卸及保税仓储业务
2799,600795,国电电力,国电电力发展股份有限公司,大连市,大连市,4805879.43,263248.79,26389,1997-03-18,--,,火电,电力产品、热力产品、化工产品、煤炭产品,电力生产、热力生产、化工产品生产。
2800,600796,钱江生化,浙江钱江生物化学股份有限公司,嘉兴市,海宁市,33299.14,-1872.23,640,1997-04-08,--,,农药,生物制品业、热电行业、房地产业,从事以植物生长调节剂、杀虫剂、杀菌剂为主的生物农药产品，兽药原料药及制剂产品和医药中间体产品，以及热电联产蒸汽的研发、生产和销售。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201809),净利润(201809),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
2801,600797,浙大网新,浙大网新科技股份有限公司,杭州市,西湖区,238349.80,15842.28,5024,1997-04-18,--,,其他软件服务,智慧城市、智慧商务、智慧生活,网络设备与终端、软件外包与服务
2802,600798,宁波海运,宁波海运股份有限公司,宁波市,江北区,147067.44,11722.42,847,1997-04-23,--,,航运,水路货物运输业务、收费公路运营业务,沿海、内河(长江)货物运输、国际远洋运输和交通基础设施、交通附设服务设施的投资。
2803,600800,天津磁卡,天津环球磁卡股份有限公司,天津市,东丽区,10750.85,-4285.58,952,1993-12-06,--,,电子零部件,数据卡产品、印刷产品、智能卡应用系统及配套机具,数据卡产品、印刷产品、智能卡应用系统及配套机具
2804,600801,华新水泥,华新水泥股份有限公司,黄石市,黄石港区,1904013.84,341138.45,16424,1994-01-03,--,,水泥,水泥、混凝土、骨料,水泥的生产及销售
2805,600802,福建水泥,福建水泥股份有限公司,福州市,鼓楼区,199564.99,32183.81,2039,1994-01-03,--,,水泥,水泥、熟料,水泥及水泥熟料的生产和销售
2806,600803,新奥股份,新奥生态控股股份有限公司,石家庄市,长安区,979675.84,103484.78,4592,1994-01-03,--,,燃气,煤炭、化工、液化天然气、能源工程、农兽药,煤炭的开采与洗选，甲醇、二甲醚等能源化工产品以及液化天然气的生产与销售，农兽药原料药及制剂的研发、生产与销售以及能源工程的设计与施工。
2807,600804,鹏博士,鹏博士电信传媒集团股份有限公司,成都市,郫都区,523226.49,34164.61,28329,1994-01-03,--,,通信运营,互联网业务,互联网业务、安防监控、广告传媒和投资业务
2808,600805,悦达投资,江苏悦达投资股份有限公司,盐城市,亭湖区,147753.38,14869.89,5058,1994-01-03,--,,综合,公路收费、棉纱、坯布、生物柴油制品、石墨导热膜、家纺制品,纺织、公路收费、生物柴油、新材料
2809,600806,*ST昆机,沈机集团昆明机床股份有限公司,昆明市,昆明市,--,--,1835,1994-01-03,--,,机床设备,--,研发、设计、制造和销售卧式镗床、大型数控落地式铣镗床、数控龙门式镗铣床、数控刨台式镗铣床、坐标镗床、卧式镗铣加工中心、精密回转工作台等系列产品。
2810,600807,*ST天业,山东天业恒基股份有限公司,济南市,历城区,94985.19,-99983.61,488,1994-01-03,--,,房地产开发,商品房、租赁、物业、黄金、白银、矿石、利息、手续费及佣金,房地产和矿业
2811,600808,马钢股份,马鞍山钢铁股份有限公司,马鞍山市,雨山区,6311657.87,558344.64,30236,1994-01-06,--,,普钢,钢铁业,钢铁产品的及其副产品的生产和销售
2812,600809,山西汾酒,山西杏花村汾酒厂股份有限公司,吕梁市,汾阳市,691544.59,126380.02,7197,1994-01-06,--,,白酒,汾酒,生产及销售汾酒、竹叶青酒及其系列酒并提供广告服务。
2813,600810,神马股份,神马实业股份有限公司,平顶山市,平顶山市,864125.58,56473.48,6643,1994-01-06,--,,其他纤维,尼龙66工业丝、帘子布、切片,生产、销售工业丝、帘子布、切片
2814,600811,东方集团,东方集团股份有限公司,哈尔滨市,南岗区,771469.42,77354.92,735,1994-01-06,--,,粮油加工,粮油购销、土地及房地产开发,粮食购销与加工；商业银行；港口交通。
2815,600812,华北制药,华北制药股份有限公司,石家庄市,长安区,708007.59,7693.12,10636,1994-01-14,--,,化学原料药,化学原料药、化学制剂药、生物制剂、医药中间体、医药及其它物流贸易,医药产品的研发、生产和销售
2816,600814,杭州解百,杭州解百集团股份有限公司,杭州市,上城区,420575.83,13158.01,1597,1994-01-14,--,,百货,商贸服务,百货零售
2817,600815,厦工股份,厦门厦工机械股份有限公司,厦门市,思明区,226704.53,-10613.72,2754,1994-01-28,--,,工程机械,工程机械产品、商业贸易产品,装载机、挖掘机、叉车、路面机械及小型机械等工程机械及配件的生产、销售
2818,600816,安信信托,安信信托股份有限公司,上海市,黄浦区,128002.69,2408.73,257,1994-01-28,--,,信托,资金存贷款、投资业务、信托业务,委托存贷款、投资及金融租赁等业务。
2819,600817,ST宏盛,西安宏盛科技发展股份有限公司,西安市,雁塔区,1550.42,-74.84,12,1994-01-28,--,,融资租赁、经营租赁,房屋租赁、水环境修复、水质检测设备,融资租赁业务
2820,600818,中路股份,中路股份有限公司,上海市,浦东新区,40464.73,1389.84,1421,1994-01-28,--,,自行车,车业、康体产业、租赁车业、网络技术服务,生产销售自行车及零部件、助力车、电动平衡车等各类特种车辆和与自行车相关的其他配套产品
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201809),净利润(201809),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
2821,600819,耀皮玻璃,上海耀皮玻璃集团股份有限公司,上海市,浦东新区,280733.89,8992.13,2743,1994-01-28,--,,玻璃,玻璃,生产销售透明浮法玻璃、本体着色浮法玻璃及深加工系列产品
2822,600820,隧道股份,上海隧道工程股份有限公司,上海市,徐汇区,2346014.26,127962.76,9405,1994-01-28,--,,路桥建设,施工、设计服务、运营、机械加工及制造、房地产、材料销售、租赁,主要从事城市基础设施建设的各类隧道及附属结构的设计与施工
2823,600821,津劝业,天津劝业场(集团)股份有限公司,天津市,和平区,12167.25,-10810.75,537,1994-01-28,--,,百货,商品销售,从事商业、各类物资的批发及零售
2824,600822,上海物贸,上海物资贸易股份有限公司,上海市,黄浦区,502872.92,4077.64,1119,1994-02-04,--,,贸易,金属、汽车,金属材料、汽车、燃料、矿产品（不含铁矿石）、化轻原料、建材、木材、机电设备、仓储等。
2825,600823,世茂股份,上海世茂股份有限公司,上海市,黄浦区,1437974.58,147605.24,1820,1994-02-04,--,,房地产开发,住宅销售、商业地产销售、房地产租赁、电影院业务、酒店服务、物业管理,房地产开发与销售、商业物业管理与经营及多元商业投资。
2826,600824,益民集团,上海益民商业集团股份有限公司,上海市,黄浦区,116417.76,12145.82,830,1994-02-04,--,,百货,商业、旅游饮食服务业、租赁业、电商业,百货零售业
2827,600825,新华传媒,上海新华传媒股份有限公司,上海市,闵行区,84420.12,2674.47,1890,1994-02-04,--,,平面媒体,图书、音像制品、文教用品、广告报刊,图书发行、报刊经营、报刊发行、广告代理、传媒衍生等业务
2828,600826,兰生股份,上海兰生股份有限公司,上海市,浦东新区,234481.0,23778.93,234,1994-02-04,--,,贸易,机电产品、纺织原料及制品、鞋类、塑料及其制品、箱包、玩具,进出口贸易
2829,600827,百联股份,上海百联集团股份有限公司,上海市,浦东新区,3577080.21,70048.84,42047,1994-02-04,--,,百货,综合百货、购物中心、奥特莱斯、标准超市、便利店、大卖场、专业专卖,零售商业为主，以综合百货、连锁超市、连锁建材等三大业态为核心业务
2830,600828,茂业商业,茂业商业股份有限公司,成都市,锦江区,857211.92,74070.82,3899,1994-02-24,--,,百货,商业零售、部分物业租赁、酒店业务,超市以及百货的零售与批发
2831,600829,人民同泰,哈药集团人民同泰医药股份有限公司,哈尔滨市,南岗区,534602.47,20204.82,2484,1994-02-24,--,,医药商业,批发业务、零售业务,药品的生产与销售
